Selected,LoanNr_ChkDgt,Name,Zip,ICS,ApprovalDate,ApprovalFY,Term,NoEmp,NewExist,CreateJob,RetainedJob,FranchiseCode,UrbanRural,RevLineCr,LowDoc,ChgOffDate,DisbursementDate,DisbursementGross,BalanceGross,MIS_Status,ChgOffPrinGr,GrAppv,SBA_Appv,New,RealEstate,Portion,daysterm,xx,Default
1,1030805001,Global Parties Inc. dba Party,91360,532299,16281,2004,64,6,1,0,0,1,1,Y,N,16947,16314,50000,0,CHGOFF,47211,50000,25000,0,0,0.5,1920,18234,1
1,1033135007,Mitchell J Kemp dba Pacific Co,94103,531312,16286,2004,84,1,1,0,0,1,1,Y,N,,16314,17536,0,P I F,0,14000,7000,0,0,0.5,2520,18834,0
0,1035365010,"Tenant Guarantors, Inc",95746,531311,16289,2004,84,12,1,0,0,1,1,Y,N,,16314,33276,0,P I F,0,25000,12500,0,0,0.5,2520,18834,0
1,1038956001,SMOOTH AS SATIN ENTERPRISES IN,91354,531210,16846,2006,76,2,2,0,2,1,2,Y,N,17197,16921,30000,0,CHGOFF,29700,30000,15000,1,0,0.5,2280,19201,1
1,1039435004,GIUSEPPE & GRAZIA PENNISI DBA,95965,531312,16295,2004,60,8,1,0,0,1,1,Y,N,,16314,30502,0,P I F,0,30000,15000,0,0,0.5,1800,18114,0
1,1040106003,C&C FINANCIAL CORP,91505,531210,16847,2006,60,13,2,7,20,1,1,Y,N,,17225,25000,0,P I F,0,25000,12500,1,0,0.5,1800,19025,0
1,1040115010,Richard S. Fletcher dba Richar,94550,531210,16296,2004,84,1,1,0,0,1,1,Y,N,,16314,20000,0,P I F,0,20000,10000,0,0,0.5,2520,18834,0
0,1041204008,"RED AND BLUE, INC.",92101,532111,13590,1997,300,15,1,0,0,1,0,N,N,,13634,1000000,0,P I F,0,1000000,750000,0,1,0.75,9000,22634,0
1,1045135004,DORIS JEANNE HARDER DBA HARDER,95695,531210,16306,2004,38,2,2,0,0,1,1,T,N,17799,16314,10097,0,CHGOFF,9709,10000,5000,1,0,0.5,1140,17454,1
1,1046615008,"Java Enterprises, Inc dba Amer",91356,532299,16307,2004,84,22,1,0,0,1,1,Y,N,,16344,10000,0,P I F,0,10000,5000,0,0,0.5,2520,18864,0
1,1048786002,Todd Key & Alan Smiley,92507,531210,16848,2006,240,13,1,8,0,1,1,0,N,,16994,79000,0,P I F,0,79000,79000,0,1,1,7200,24194,0
0,1048826001,Todd Key & Alan Smiley,92507,531210,16848,2006,240,13,1,8,0,1,1,0,N,,16994,249000,0,P I F,0,249000,249000,0,1,1,7200,24194,0
1,1054835004,Carmen Hernandez and Pedro Her,90662,532299,16321,2004,62,2,1,0,0,1,1,T,N,17062,16344,4999,0,CHGOFF,4999,10000,5000,0,0,0.5,1860,18204,1
1,1056816009,RENAISSANCE,91604,531210,16849,2006,84,3,2,0,3,1,2,Y,N,,16860,59450,0,P I F,0,30000,15000,1,0,0.5,2520,19380,0
1,1063815000,California Percussion LLC,94080,532299,16334,2004,84,3,1,0,0,1,1,Y,N,,16344,25530,0,P I F,0,20000,10000,0,0,0.5,2520,18864,0
0,1077145001,DESERT REALTY & DEVELOPMENT CO,90305,531210,16350,2005,67,12,1,0,0,1,1,N,N,16932,16375,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,2010,18385,1
1,1086365010,Winokur & Gage Inc.,95030,531210,16364,2005,32,5,1,0,0,1,1,T,N,18128,16526,64000,0,P I F,16728,50000,25000,0,0,0.5,960,17486,0
1,1088625009,Michael L. Judson dba Linex Co,94901,531210,16369,2005,84,4,1,0,0,1,1,N,N,,16375,39000,0,P I F,0,10000,5000,0,0,0.5,2520,18895,0
0,1091405003,THE FRANK TEHAN CORPORATION,94707,532299,16371,2005,84,3,1,0,0,1,1,N,N,,16405,25000,0,P I F,0,25000,12500,0,0,0.5,2520,18925,0
0,1092745002,Imagine Designs Inc.,95037,533110,16372,2005,84,2,1,0,0,1,1,Y,N,,16405,32697,0,P I F,0,25000,12500,0,0,0.5,2520,18925,0
0,1097055006,Artur Ambarachyan dba Millenni,91208,531210,16378,2005,84,4,1,0,0,1,1,Y,N,,16405,25000,0,P I F,0,25000,12500,0,0,0.5,2520,18925,0
1,1097615008,Eight Eight 88 Corp.,95630,531210,16379,2005,84,1,2,0,0,1,1,Y,N,,16436,10000,0,P I F,0,10000,5000,1,0,0.5,2520,18956,0
1,1100695001,VIDEO PALACE,93610,532230,16384,2005,84,2,1,0,0,1,2,N,N,,16405,10000,0,P I F,0,10000,5000,0,0,0.5,2520,18925,0
0,1101815002,"Shaky, Inc.",91604,531210,16385,2005,34,1,2,0,0,1,1,N,N,18004,16467,12750,0,CHGOFF,8415,10000,5000,1,0,0.5,1020,17487,1
0,1105055007,"PORTFOLIO SERVICES GROUP, INC.",92656,531320,16391,2005,84,1,1,0,0,1,1,N,N,,16436,35000,0,P I F,0,35000,17500,0,0,0.5,2520,18956,0
1,1106844003,XPRESS RENT-A-CAR OF HEMET,92545,532111,13612,1997,300,30,1,0,0,1,0,0,N,,13695,150500,0,P I F,0,150500,112875,0,1,0.75,9000,22695,0
0,1113545001,"Boels, Inc. dba Automated Regi",92708,532490,16401,2005,84,8,1,0,0,1,1,N,N,,16467,100000,0,P I F,0,100000,50000,0,0,0.5,2520,18987,0
1,1115215000,"First Step Funding, Inc. dba F",92868,531210,16405,2005,33,12,1,0,0,1,1,N,N,18063,16436,50000,0,CHGOFF,38832,50000,25000,0,0,0.5,990,17426,1
1,1118365005,Premnarayan R. Soni dba Ba Ba,92307,531311,16408,2005,84,3,1,0,0,1,1,Y,N,,16436,50000,0,P I F,0,50000,25000,0,0,0.5,2520,18956,0
1,1122665004,Richard Aguilar dba Big Bounce,93274,532299,16413,2005,4,2,1,0,0,1,1,N,N,18388,16436,12000,0,CHGOFF,1547,12000,6000,0,0,0.5,120,16556,1
0,1122875008,Patty Schwartzkopf Properties,93546,531210,16413,2005,84,2,1,0,0,1,2,Y,N,,16587,11000,0,P I F,0,11000,5500,0,0,0.5,2520,19107,0
0,1123945007,ROBERT S PERDUE DBA ROBERT SHE,92590,531320,16414,2005,84,7,1,0,0,1,1,N,N,,16436,50000,0,P I F,0,50000,25000,0,0,0.5,2520,18956,0
0,1127975002,ABC Enterprises of Southern Ca,92301,531390,16418,2005,56,3,1,0,0,1,1,Y,N,17345,16467,25009,0,CHGOFF,24952,25000,12500,0,0,0.5,1680,18147,1
1,1130575001,Go On Enterprises Inc,92307,531390,16420,2005,50,1,1,0,0,1,1,Y,N,17491,16436,50591,0,CHGOFF,49447,50000,25000,0,0,0.5,1500,17936,1
0,1136545004,"Villarino Financial, Inc. dba",91941,531210,16426,2005,84,6,1,0,0,1,1,Y,N,,16436,229540,0,P I F,0,100000,50000,0,0,0.5,2520,18956,0
0,1137015000,Salay Bangura dba Lungi Enterp,91789,531390,16426,2005,61,4,1,0,0,1,1,T,N,17170,16436,10000,0,CHGOFF,10000,10000,5000,0,0,0.5,1830,18266,1
1,1137605000,"Rent 4 Less, Inc.",92831,532112,16427,2005,42,7,1,0,0,1,1,N,N,18403,16436,100000,0,CHGOFF,61348,100000,50000,0,0,0.5,1260,17696,1
0,1138035008,"Priceless Cars & Trucks Ent.,",92801,532120,16427,2005,42,10,1,0,0,1,1,N,N,18484,16436,100000,0,CHGOFF,61325,100000,50000,0,0,0.5,1260,17696,1
1,1153685002,"The Sonne Group Inc., dba Self",92648,531320,16446,2005,84,4,1,0,4,1,1,Y,N,,16495,113000,0,P I F,0,50000,25000,0,0,0.5,2520,19015,0
1,1156185000,"MTS UNLIMITED, INC.",92083,532299,16448,2005,84,18,1,2,18,1,1,N,N,,16467,50000,0,P I F,0,50000,25000,0,0,0.5,2520,18987,0
1,1159915000,Westec Mortgage Inc.,91730,531390,16450,2005,49,3,1,2,3,1,1,T,N,17687,16587,69500,0,CHGOFF,50000,50000,25000,0,0,0.5,1470,18057,1
1,1161485001,CHENG & ASSOCIATES LLC,94117,531210,16454,2005,60,2,1,0,2,1,1,N,N,17261,16495,50000,0,CHGOFF,41691,50000,25000,0,0,0.5,1800,18295,1
1,1162204004,FOX'S VIDEO,93611,532230,13627,1997,32,6,1,0,0,1,0,0,N,15313,13695,90000,0,CHGOFF,8469,90000,72000,0,0,0.8,960,14655,1
1,1162775007,Technogeeks LLC,91505,531210,16457,2005,84,2,1,0,2,1,1,Y,N,,17562,10000,0,P I F,0,10000,5000,0,0,0.5,2520,20082,0
0,1168925005,"Desert Resort Management, Inc.",92260,531390,16461,2005,84,58,1,4,58,1,1,N,N,,16495,100000,0,P I F,0,100000,50000,0,0,0.5,2520,19015,0
0,1168985001,Claudio Gonzalez dba A & A Pro,92301,531311,16461,2005,53,2,1,1,2,1,1,Y,N,17477,16495,25000,0,CHGOFF,25000,25000,12500,0,0,0.5,1590,18085,1
1,1169845007,Luna Terra LLC,94931,531210,16461,2005,19,1,2,0,1,1,1,Y,N,18493,16495,23282,0,CHGOFF,5897,10000,5000,1,0,0.5,570,17065,1
0,1173345002,Casa Grande Real Estate,92701,531210,16463,2005,42,12,2,0,12,1,1,T,N,17868,16495,20000,0,CHGOFF,10000,10000,5000,1,0,0.5,1260,17755,1
0,1176946007,CENTURY 21 GOLD DUST REALTY,95945,531210,16859,2006,240,13,1,6,13,15710,2,0,N,,17148,229000,0,P I F,0,229000,229000,0,1,1,7200,24348,0
1,1177395003,"Anderson Jackson Group, Inc.",92688,531210,16469,2005,25,2,1,2,2,1,2,N,N,18302,16495,83500,0,CHGOFF,36562,50000,25000,0,0,0.5,750,17245,1
0,1177475003,"Vu-Color, Inc.",92887,532490,16469,2005,84,4,1,0,4,1,1,Y,N,,16495,50000,0,P I F,0,50000,25000,0,0,0.5,2520,19015,0
0,1182995000,"BRAD T. EVANS HOLDINGS, INC.",95628,531210,16471,2005,84,4,1,1,4,1,1,N,N,,16495,50000,0,P I F,0,50000,25000,0,0,0.5,2520,19015,0
1,1183175003,WILLIAM B BARILLARO DBA COACH,91502,532120,16471,2005,28,1,1,0,1,1,1,Y,N,18341,16587,58945,0,CHGOFF,15000,15000,7500,0,0,0.5,840,17427,1
1,1187995010,YOSEMITE / BASS LAKE ACTIVITIE,93604,532292,16476,2005,84,30,1,1,30,1,2,N,N,,16526,50000,0,P I F,0,50000,25000,0,0,0.5,2520,19046,0
1,1188446007,FINE FOOD CORP,91221,532120,16860,2006,39,3,1,1,4,1,1,Y,N,18334,16921,116007,0,CHGOFF,40000,40000,20000,0,0,0.5,1170,18091,1
1,1188815004,"Just Ergonomics, Inc.",94070,532291,16476,2005,84,6,1,0,6,1,1,Y,N,,16495,64000,0,P I F,0,50000,25000,0,0,0.5,2520,19015,0
0,1192835002,Chan Yop Cho,92879,532230,16478,2005,60,2,1,0,2,1,1,N,N,,16526,60000,0,P I F,0,60000,30000,0,0,0.5,1800,18326,0
0,1196525000,TR Benefits Insurance Services,94526,531210,16482,2005,84,4,1,0,4,1,1,Y,N,,16526,58602,0,P I F,0,50000,25000,0,0,0.5,2520,19046,0
0,1199354007,RED CARPET VIDEO,92115,532230,13648,1997,119,3,1,0,0,1,0,N,Y,,13665,100000,0,P I F,0,100000,80000,0,0,0.8,3570,17235,0
1,1206515002,Personalized Property Manageme,90210,531312,16491,2005,84,2,1,1,2,1,1,Y,N,,16526,19700,0,P I F,0,10000,5000,0,0,0.5,2520,19046,0
1,1207665003,"P T J Enterprise, Incorporated",90305,531311,16491,2005,68,4,1,0,4,1,1,T,N,17037,16526,45018,0,CHGOFF,45000,45000,22500,0,0,0.5,2040,18566,1
1,1207715005,Lee & Jackson Financial Servic,93010,531210,16491,2005,84,5,1,0,5,1,1,Y,N,,16526,67597,0,P I F,0,50000,25000,0,0,0.5,2520,19046,0
1,1207735000,Steven Trombly Excavation Equi,94546,532412,16491,2005,18,1,1,0,1,1,1,Y,N,18639,16617,13107,0,CHGOFF,3955,10000,5000,0,0,0.5,540,17157,1
0,1210706010,CENTURY 21 ALL PRO,92807,531210,16861,2006,240,345,1,20,0,1,1,0,N,,17057,568000,0,P I F,0,568000,568000,0,1,1,7200,24257,0
1,1216465004,WEST COAST APPRAISAL SERVICE,91301,531320,16498,2005,47,7,1,0,7,1,1,N,N,17744,16556,100000,0,CHGOFF,73426,100000,50000,0,0,0.5,1410,17966,1
1,1218694000,"MSK MANAGEMENT, INC.",92056,531110,13643,1997,240,7,1,13,7,1,0,N,N,,13802,357000,0,P I F,0,357000,357000,0,1,1,7200,21002,0
1,1223795007,THORNTON ENTERPRISES,91311,531210,16504,2005,84,1,1,0,1,1,1,Y,N,,16740,14900,0,P I F,0,10000,5000,0,0,0.5,2520,19260,0
0,1227735008,Esprit Funding,92807,531210,16506,2005,42,4,1,0,4,1,1,N,N,17910,16587,33500,0,CHGOFF,20953,22000,11000,0,0,0.5,1260,17847,1
1,1236295009,"Majkl, Inc.",92130,531210,16513,2005,33,2,1,1,2,1,1,N,N,18302,16556,100000,0,CHGOFF,64362,100000,50000,0,0,0.5,990,17546,1
1,1239985010,HANMI WORLD CORP.,90036,532230,16517,2005,57,9,1,1,9,1,1,N,N,17407,16556,50000,0,CHGOFF,44065,50000,25000,0,0,0.5,1710,18266,1
0,1241275008,"C & D Wellbeloved, Inc. DBA He",94588,531210,16517,2005,84,1,2,0,1,37481,1,Y,N,,16556,10000,0,P I F,0,10000,5000,1,0,0.5,2520,19076,0
1,1241335002,CENTURY 21 GREENE REALTY,91607,531210,16517,2005,36,30,1,0,30,1,1,N,N,,16526,10000,0,P I F,0,10000,5000,0,0,0.5,1080,17606,0
0,1241435008,"Los Angeles Properties, Inc. D",90504,531210,16517,2005,30,16,1,0,16,1,1,N,N,18193,16526,81937,0,CHGOFF,48632,60000,30000,0,0,0.5,900,17426,1
0,1245455000,Eastlake Realty and Mortgage C,91914,531210,16520,2005,84,2,2,0,2,1,1,Y,N,,16709,10000,0,P I F,0,10000,5000,1,0,0.5,2520,19229,0
0,1247315008,REYES PROPERTY MANAGEMENT GROU,92173,531311,16523,2005,84,4,1,2,4,1,1,N,N,,16556,35000,0,P I F,0,35000,17500,0,0,0.5,2520,19076,0
0,1252285006,Investment Property Group,90274,531210,16526,2005,84,4,1,1,4,1,1,Y,N,,16556,139892,0,P I F,0,47900,23950,0,0,0.5,2520,19076,0
0,1256744003,STEVEN OH AJAX RENT A CAR,90006,532111,13653,1997,300,5,1,0,0,1,0,N,N,,13787,504000,0,P I F,0,504000,378000,0,1,0.75,9000,22787,0
0,1260605006,"Parto Enterprises, Inc.",92649,531312,16533,2005,71,12,1,0,12,1,1,T,N,16985,16556,50000,0,CHGOFF,49725,50000,25000,0,0,0.5,2130,18686,1
0,1262665006,Mercury Capital Group Inc.,92101,531210,16537,2005,29,18,1,0,18,1,1,Y,N,18287,16587,50000,0,CHGOFF,50000,50000,25000,0,0,0.5,870,17457,1
0,1264815007,Tammy Cho dba LA Hit Video,90016,532230,16538,2005,73,6,1,1,6,1,1,Y,N,16939,16556,82804,0,CHGOFF,48304,50000,25000,0,0,0.5,2190,18746,1
0,1266005004,New Integrity Mortgage Corpora,90242,531210,16538,2005,42,5,1,12,5,1,1,Y,N,17933,16556,35000,0,CHGOFF,33294,35000,17500,0,0,0.5,1260,17816,1
0,1267495002,Kutzer Management Company Inco,91030,531312,16539,2005,84,12,1,3,12,1,1,Y,N,,16556,111500,0,P I F,0,90000,45000,0,0,0.5,2520,19076,0
0,1269385008,"EMAX ESCROW, INC.",91780,531390,16544,2005,84,5,1,3,5,1,1,N,N,,16556,50000,0,P I F,0,50000,25000,0,0,0.5,2520,19076,0
1,1275284002,WEB TRADERS,94706,532420,13657,1997,84,1,1,0,0,1,1,N,N,,13787,48449,0,P I F,0,50000,40000,0,0,0.8,2520,16307,0
0,1282426008,"OAKES & ASSOCIATES, INC.",94115,531210,16867,2006,240,6,1,5,0,1,1,0,N,,16938,557000,0,P I F,0,557000,557000,0,1,1,7200,24138,0
1,1284435008,HERRING GROUP INC.,91789,531390,16553,2005,43,3,1,2,3,1,1,Y,N,18527,16587,46003,0,CHGOFF,34794,35000,17500,0,0,0.5,1290,17877,1
0,1292166006,CYNTHIA THUY VU,94519,531210,16868,2006,268,5,1,3,8,1,1,0,N,17986,16891,394200,0,CHGOFF,230645,394200,295650,0,1,0.75,8040,24931,1
0,1298785009,The Churchill Real Estate Grou,92108,531210,16566,2005,11,2,1,0,2,1,1,Y,N,19411,16587,93595,0,CHGOFF,13744,50000,25000,0,0,0.5,330,16917,1
1,1299775008,"Envisage Realty, Inc.",93906,531311,16567,2005,33,1,2,0,1,1,1,N,N,18164,16587,12970,0,P I F,8417,10000,5000,1,0,0.5,990,17577,0
0,1301435000,Hee Dong Bang dba Planet Video,91606,532230,16568,2005,84,4,1,0,4,1,2,Y,N,,16587,28500,0,P I F,0,28500,14250,0,0,0.5,2520,19107,0
1,1313825007,GOLYER'S FINANCIAL GROUP,92612,531210,16580,2005,43,2,1,0,2,1,1,N,N,17907,16617,25000,0,CHGOFF,20357,25000,12500,0,0,0.5,1290,17907,1
1,1317475006,Ruberics,91201,531311,16582,2005,84,4,1,0,4,1,1,Y,N,,16617,79500,0,P I F,0,50000,25000,0,0,0.5,2520,19137,0
1,1319365001,CHANG W SON DBA GREENLAND REAL,90010,531210,16587,2005,32,1,1,0,1,1,1,N,N,18319,16617,25000,0,CHGOFF,14587,25000,12500,0,0,0.5,960,17577,1
1,1321525000,"Thomas M. Hildebrandt, III dba",95521,532230,16589,2005,23,6,1,0,6,1,1,N,N,18480,16617,75000,0,CHGOFF,36179,75000,37500,0,0,0.5,690,17307,1
0,1326436003,ASSET ESCROW SERVICES INC,92084,531390,16870,2006,240,34,1,6,34,1,1,0,N,,16938,914000,0,P I F,0,914000,914000,0,1,1,7200,24138,0
1,1327735005,Devigne,92627,532299,16594,2005,84,6,1,0,6,1,1,Y,N,,16617,30000,0,P I F,0,30000,15000,0,0,0.5,2520,19137,0
1,1331095006,SIRCLE SOCCER SPORTS L.L.C.,91342,532292,16596,2005,58,1,1,0,1,1,1,N,N,18469,16648,35000,0,CHGOFF,32141,35000,17500,0,0,0.5,1740,18388,1
0,1331255006,"MWISE, Inc.",91364,531320,16596,2005,36,3,1,0,3,1,1,N,N,18172,16679,187000,0,CHGOFF,93700,100000,50000,0,0,0.5,1080,17759,1
0,1333125006,NINA N SARYAN IHMUD DBA STAR V,92411,532230,16597,2005,63,12,1,0,12,1,1,N,N,18477,16648,50000,0,CHGOFF,45747,50000,25000,0,0,0.5,1890,18538,1
1,1335966000,PROPERTY PERCEPTIONS,95337,531210,16873,2006,41,1,1,1,1,1,1,Y,N,17514,16921,51751,0,CHGOFF,29638,30000,15000,0,0,0.5,1230,18151,1
1,1337275002,"M&B Realty Investments, LLC",90211,531210,16601,2005,84,3,2,0,3,1,1,N,N,,16617,50000,0,P I F,0,50000,25000,1,0,0.5,2520,19137,0
1,1338134001,RAZ MA TAZ VIDEO,93611,532230,13676,1997,300,6,1,0,0,1,0,0,N,,14425,302000,0,P I F,0,302000,226500,0,1,0.75,9000,23425,0
1,1339455001,"WESTERN AMERICA PROPERTIES, IN",90266,531311,16602,2005,84,80,1,0,80,1,1,N,N,,16648,50000,0,P I F,0,50000,25000,0,0,0.5,2520,19168,0
1,1340535009,"Mathis & Associates, Inc.",95678,531210,16603,2005,55,3,1,0,3,1,1,T,N,17577,16679,109000,0,CHGOFF,44496,50000,25000,0,0,0.5,1650,18329,1
0,1345845007,"Whizdom Group, Inc.",91601,531210,16607,2005,84,1,1,0,1,1,1,Y,N,,16617,92446,0,P I F,0,31000,15500,0,0,0.5,2520,19137,0
0,1346505001,"Turnbloom & Associates, Incorp",94523,531210,16608,2005,84,6,1,0,6,1,1,Y,N,,16801,55000,0,P I F,0,50000,25000,0,0,0.5,2520,19321,0
1,1350935004,Star Wheels,91709,531190,16610,2005,41,2,1,0,2,1,1,N,N,17987,16648,81475,0,CHGOFF,51609,52500,26250,0,0,0.5,1230,17878,1
0,1364005008,"Hans Strom, Inc. dba Strom Com",92101,531210,16623,2005,84,5,1,1,5,0,1,Y,N,,16648,93000,0,P I F,0,50000,25000,0,0,0.5,2520,19168,0
1,1366035010,VMD ROYAL REAL ESTATE CO.,92553,531210,16624,2005,36,5,1,0,5,0,1,N,N,,16648,20000,0,P I F,0,20000,10000,0,0,0.5,1080,17728,0
0,1368895003,Long Tzong Syiau dba Champion,91776,531120,16628,2005,84,3,1,3,3,0,1,Y,N,,16648,69500,0,P I F,0,50000,25000,0,0,0.5,2520,19168,0
0,1388235001,Woodward Childs,95010,531210,16643,2005,53,2,1,2,2,0,1,T,N,17752,16679,44750,0,CHGOFF,25000,25000,12500,0,0,0.5,1590,18269,1
0,1390235000,Pine Idyllwild LLC,92549,531312,16644,2005,84,5,2,0,5,0,1,Y,N,,16740,21500,0,P I F,0,10000,5000,1,0,0.5,2520,19260,0
0,1390566001,Auchante Inc,90201,531210,16877,2006,73,31,1,69,31,69149,1,Y,N,,17225,150000,0,P I F,0,150000,75000,0,0,0.5,2190,19415,0
0,1391595005,Mega Video,94606,532230,16645,2005,4,2,1,1,2,0,1,Y,N,19372,16679,20505,0,CHGOFF,3783,10000,5000,0,0,0.5,120,16799,1
0,1392415010,"Three Amigos Realty, Inc., dba",90631,531210,16645,2005,300,21,2,0,21,0,1,N,N,,16679,1240000,0,P I F,0,1240000,930000,1,1,0.75,9000,25679,0
1,1394315008,ACME SAFETY & SUPPLY CORPORATI,92110,532490,16646,2005,84,21,1,50,50,0,1,N,N,,16679,140000,0,P I F,0,140000,70000,0,0,0.5,2520,19199,0
1,1394325000,ACME SAFETY & SUPPLY CORPORATI,92110,532490,16646,2005,84,21,1,50,50,0,1,Y,N,,17286,22964,0,P I F,0,10000,5000,0,0,0.5,2520,19806,0
1,1406965002,A&M Video,92544,532230,16657,2005,78,2,1,2,2,0,1,N,N,18148,16832,100000,0,CHGOFF,48904,100000,85000,0,0,0.85,2340,19172,1
0,1408404006,WARFIELD ENTERPRISES INC.,92234,531110,13705,1997,300,9,1,0,0,1,0,0,N,,13757,257000,0,P I F,0,257000,192750,0,1,0.75,9000,22757,0
0,1409105008,"Pro Listing Realty Group, Inc.",90004,531210,16658,2005,84,1,2,1,1,0,1,Y,N,,16832,65000,0,P I F,0,50000,25000,1,0,0.5,2520,19352,0
0,1416315010,"AME Property Management, Inc.",90293,531311,16664,2005,59,5,2,0,5,0,1,Y,N,17507,16709,24046,0,CHGOFF,20000,20000,10000,1,0,0.5,1770,18479,1
0,1419365009,The Korby Marks Intellectual P,90303,531311,16666,2005,63,2,2,0,2,0,1,Y,N,17416,16740,5000,0,CHGOFF,4299,5000,2500,1,0,0.5,1890,18630,1
1,1424025006,DAVID R. CLARK DBA WESTWOOD IN,92883,531210,16671,2005,51,5,1,1,5,0,1,N,N,17757,16709,50000,0,CHGOFF,40042,50000,25000,0,0,0.5,1530,18239,1
1,1426646004,MUNOZ DEVELOPMENT LLC,91106,531210,16881,2006,54,3,1,2,3,1,2,Y,N,17861,16921,43509,0,CHGOFF,28987,30000,15000,0,0,0.5,1620,18541,1
1,1426866000,CHEM MARK OF LONG BEACH INC,92501,532490,16881,2006,240,20,1,3,0,1,1,0,N,,17029,105000,0,P I F,0,105000,105000,0,1,1,7200,24229,0
0,1430295002,Universal Properties & Financi,91303,531390,16673,2005,44,13,1,0,13,0,1,N,N,17961,16709,45000,0,CHGOFF,44239,45000,22500,0,0,0.5,1320,18029,1
1,1441105008,Kirschners Box Supply,92404,532120,16681,2005,84,1,1,0,1,0,1,Y,N,,16709,61483,0,P I F,0,45000,22500,0,0,0.5,2520,19229,0
1,1454584004,VIDEO EXPRESS/BLUEPRINT EXPRES,93433,532230,13727,1997,120,7,1,0,0,1,0,0,N,,13787,140000,0,P I F,0,140000,105000,0,0,0.75,3600,17387,0
0,1454865001,"Johal & Mohiuddin Investments,",94104,531311,16693,2005,84,3,2,0,3,0,1,Y,N,,16709,70112,0,P I F,0,20000,10000,1,0,0.5,2520,19229,0
0,1460875000,"Atlas Marketing Group, Inc.",95821,531311,16698,2005,61,1,1,1,2,0,1,Y,N,17933,17197,53450,0,CHGOFF,19077,25000,12500,0,0,0.5,1830,19027,1
0,1465705005,"Genshare Acquisition, Inc.",95621,531390,16700,2005,22,1,2,9,10,0,2,Y,N,18052,16709,74432,0,CHGOFF,39184,40000,20000,1,0,0.5,660,17369,1
1,1469696008,HANSON & FITCH INC,93905,532490,16884,2006,120,6,1,0,6,1,1,0,N,,16952,825000,0,P I F,0,825000,618750,0,0,0.75,3600,20552,0
1,1472284001,AJAX RENT A CAR,90004,532111,13737,1997,300,7,1,0,0,1,0,0,N,,13910,720000,0,P I F,0,720000,540000,0,1,0.75,9000,22910,0
0,1476505010,SHAUN D. IRONS DBA IRONS' APPR,94510,531320,16707,2005,49,2,1,2,2,0,1,N,N,18533,16740,50000,0,CHGOFF,38036,50000,25000,0,0,0.5,1470,18210,1
1,1477895002,Monica & Jim DePriest dba: Vid,93654,532230,16707,2005,60,2,1,2,2,0,1,N,N,,16801,10800,0,P I F,0,10800,9180,0,0,0.85,1800,18601,0
0,1483255005,Sepan Hall,90039,531120,16712,2006,7,1,1,0,1,0,1,N,N,19136,16770,45000,0,CHGOFF,43770,45000,22500,0,0,0.5,210,16980,1
1,1488884009,ADVANCED MANAGEMENT COMPANY,92630,531110,13744,1997,300,130,1,0,0,1,0,0,N,,13787,369000,0,P I F,0,369000,276750,0,1,0.75,9000,22787,0
