recordid,customer_id,account_length,area_code,international_plan,total_intl_minutes,total_intl_calls,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,total_intl_minutes_2,total_intl_calls_2,total_intl_charge,number_customer_service_calls,churn
95,17242736,114,415,false,9.1,2,false,0,108.3,95,18.41,168.3,104,14.31,153.1,109,6.89,9.1,2,2.46,1,false
96,56533672,43,408,true,13.8,5,false,0,160.5,92,27.29,235.8,121,20.04,111.8,95,5.03,13.8,5,3.73,1,true
97,317757862,103,408,false,11.0,3,false,0,147.3,81,25.04,158.4,88,13.46,193.8,103,8.72,11.0,3,2.97,2,false
98,32332090,57,510,false,9.5,3,false,0,165.1,91,28.07,240.8,56,20.47,277.0,100,12.47,9.5,3,2.57,2,false
99,28076479666,52,408,false,5.7,10,true,31,122.2,88,20.77,139.0,100,11.82,141.9,141,6.39,5.7,10,1.54,3,false
100,309072858,74,408,false,9.0,4,false,0,156.3,102,26.57,273.1,118,23.21,215.8,113,9.71,9.0,4,2.43,3,false
101,31486442,74,408,false,10.4,2,true,46,277.7,109,47.21,270.0,114,22.95,165.3,82,7.44,10.4,2,2.81,1,false
102,40192452,40,415,true,10.9,5,true,21,147.4,117,25.06,262.8,110,22.34,202.0,97,9.09,10.9,5,2.94,0,false
103,10901270,83,415,false,7.8,6,false,0,228.4,113,38.83,163.3,103,13.88,248.0,114,11.16,7.8,6,2.11,1,false
104,28545507,102,510,false,6.8,8,false,0,184.6,133,31.38,166.8,94,14.18,225.2,105,10.13,6.8,8,1.84,1,false
105,57718637,92,510,false,8.0,4,false,0,87.6,89,14.89,172.3,133,14.65,153.4,88,6.9,8.0,4,2.16,1,false
106,51997773,79,408,false,5.6,5,true,25,219.0,95,37.23,241.9,95,20.56,203.4,102,9.15,5.6,5,1.51,4,false
107,57930729,110,510,false,13.5,9,false,0,220.9,100,37.55,279.6,76,23.77,239.8,107,10.79,13.5,9,3.65,1,true
108,309959047,69,408,false,9.7,7,true,27,188.4,104,32.03,320.6,128,27.25,161.7,120,7.28,9.7,7,2.62,1,false
109,58261405,56,510,false,13.5,2,false,0,254.8,83,43.32,194.0,98,16.49,186.2,118,8.38,13.5,2,3.65,4,false
110,37675873,133,510,false,14.8,4,false,0,338.4,86,57.53,234.6,97,19.94,264.8,139,11.92,14.8,4,4.0,3,true
111,507331694,119,415,false,10.7,3,true,37,168.2,81,28.59,283.3,105,24.08,243.8,136,10.97,10.7,3,2.89,1,false
112,29075363,131,415,false,8.9,3,false,0,143.1,114,24.33,138.1,119,11.74,199.4,100,8.97,8.9,3,2.4,3,false
113,33509175,60,415,false,9.4,4,true,20,118.3,113,20.11,253.8,97,21.57,172.8,78,7.78,9.4,4,2.54,1,false
114,54267661,118,415,false,7.5,5,false,0,256.5,115,43.61,135.3,79,11.5,208.3,131,9.37,7.5,5,2.03,0,false
115,33406182,92,510,false,8.5,2,false,0,185.9,111,31.6,216.8,93,18.43,231.0,58,10.4,8.5,2,2.3,1,false
116,13902978,52,510,false,11.9,8,false,0,219.0,100,37.23,148.9,110,12.66,151.8,129,6.83,11.9,8,3.21,3,false
117,56426661,135,510,false,12.7,9,true,18,180.1,90,30.62,152.5,65,12.96,258.2,85,11.62,12.7,9,3.43,1,false
118,58307422,107,408,false,12.6,5,false,0,114.9,119,19.53,239.7,91,20.37,165.3,112,7.44,12.6,5,3.4,2,false
119,38345369,110,510,false,11.3,3,false,0,158.6,97,26.96,204.4,123,17.37,182.5,123,8.21,11.3,3,3.05,2,false
120,29328440,109,415,true,15.4,3,true,36,244.2,147,41.51,199.7,65,16.97,144.4,109,6.5,15.4,3,4.16,2,true
121,6968291,90,415,false,13.2,9,false,0,180.0,58,30.6,229.4,88,19.5,162.2,110,7.3,13.2,9,3.56,1,false
122,22828495,117,408,false,7.0,19,false,0,240.2,110,40.83,187.9,65,15.97,152.7,102,6.87,7.0,19,1.89,3,false
123,58039900,57,415,false,9.4,4,false,0,234.4,120,39.85,155.3,120,13.2,130.5,103,5.87,9.4,4,2.54,1,false
124,57695173,115,415,false,5.4,3,false,0,135.4,104,23.02,138.8,91,11.8,208.5,92,9.38,5.4,3,1.46,1,false
125,34184093,73,408,false,10.9,5,false,0,272.4,112,46.31,252.2,91,21.44,255.4,112,11.49,10.9,5,2.94,1,true
126,32779480,127,510,false,7.5,5,false,0,262.9,95,44.69,175.9,126,14.95,202.1,101,9.09,7.5,5,2.03,1,false
127,64764665,79,415,false,15.1,2,false,0,66.7,124,11.34,204.0,91,17.34,254.7,110,11.46,15.1,2,4.08,1,false
128,13179601,33,408,false,10.1,4,true,33,221.4,110,37.64,276.1,86,23.47,222.9,102,10.03,10.1,4,2.73,1,false
129,31468473,110,415,true,13.2,4,false,0,135.1,99,22.97,227.3,123,19.32,176.0,110,7.92,13.2,4,3.56,1,true
130,14346852,133,408,false,7.7,5,false,0,240.8,72,40.94,202.7,62,17.23,212.9,76,9.58,7.7,5,2.08,1,false
131,38309977,145,415,false,9.8,1,false,0,170.5,101,28.99,206.5,112,17.55,194.3,106,8.74,9.8,1,2.65,3,false
132,29633310,47,415,false,14.0,2,true,40,158.3,90,26.91,213.2,71,18.12,123.0,132,5.54,14.0,2,3.78,2,false
133,55488332,53,510,false,7.9,5,true,24,201.7,87,34.29,251.7,97,21.39,297.4,95,13.38,7.9,5,2.13,0,false
134,29451754,148,510,false,10.6,4,false,0,168.8,102,28.7,248.1,125,21.09,250.7,96,11.28,10.6,4,2.86,1,false
135,32415267,72,415,false,12.0,5,false,0,141.9,98,24.12,188.1,63,15.99,115.2,49,5.18,12.0,5,3.24,2,false
136,357152,96,510,false,9.5,3,false,0,182.6,75,31.04,188.6,67,16.03,137.7,81,6.2,9.5,3,2.57,5,true
137,303668099,113,510,false,10.0,4,true,28,264.4,93,44.95,222.8,79,18.94,213.7,88,9.62,10.0,4,2.7,1,false
138,57776197,55,415,false,9.4,1,false,0,203.7,80,34.63,230.2,112,19.57,120.3,48,5.41,9.4,1,2.54,3,false
139,56549124,143,415,false,10.7,9,false,0,191.6,53,32.57,104.6,104,8.89,195.8,125,8.81,10.7,9,2.89,3,false
140,314570813,60,415,false,7.0,3,false,0,136.4,147,23.19,219.9,101,18.69,99.7,73,4.49,7.0,3,1.89,0,false
141,56380082,90,415,false,8.2,2,true,30,168.2,103,28.59,220.9,75,18.78,224.3,105,10.09,8.2,2,2.21,0,false
142,57716755,170,408,false,7.0,3,true,34,125.3,128,21.3,240.6,104,20.45,243.4,109,10.95,7.0,3,1.89,3,false
143,22860621,65,415,false,6.6,4,false,0,217.9,89,37.04,238.8,101,20.3,194.4,105,8.75,6.6,4,1.78,0,false
144,33290677,93,408,false,12.6,4,false,0,198.1,93,33.68,236.1,95,20.07,127.3,121,5.73,12.6,4,3.4,2,false
145,24262404,117,408,true,7.1,5,true,15,178.8,81,30.4,286.1,85,24.32,229.4,128,10.32,7.1,5,1.92,1,false
146,22357909,96,415,false,11.8,4,true,18,262.9,57,44.69,190.2,107,16.17,293.5,103,13.21,11.8,4,3.19,3,false
147,5018122,101,415,false,11.5,5,false,0,164.6,85,27.98,204.9,72,17.42,136.4,104,6.14,11.5,5,3.11,0,false
148,11952652,60,415,false,12.6,4,false,0,197.0,130,33.49,219.2,105,18.63,102.8,113,4.63,12.6,4,3.4,1,false
149,309517738,157,510,false,13.6,2,false,0,102.9,94,17.49,229.1,96,19.47,198.7,129,8.94,13.6,2,3.67,1,false
150,11437191,89,408,false,12.1,7,false,0,144.2,74,24.51,164.7,119,14.0,279.2,121,12.56,12.1,7,3.27,4,true
151,22790695,96,408,false,13.1,6,true,26,126.5,108,21.51,123.8,114,10.52,308.5,98,13.88,13.1,6,3.54,2,false
152,24839094,91,415,false,13.6,4,false,0,139.8,109,23.77,157.0,91,13.35,218.6,122,9.84,13.6,4,3.67,3,false
153,57274383,104,415,false,10.3,2,false,0,139.7,112,23.75,199.8,127,16.98,189.3,104,8.52,10.3,2,2.78,2,false
154,34168948,40,415,false,11.2,5,false,0,309.4,86,52.6,271.3,98,23.06,197.1,116,8.87,11.2,5,3.02,3,true
155,10936912,161,415,false,12.6,7,false,0,159.6,102,27.13,212.6,119,18.07,151.4,83,6.81,12.6,7,3.4,5,true
156,57882763,131,408,false,10.5,2,true,29,239.7,102,40.75,212.8,109,18.09,187.7,77,8.45,10.5,2,2.84,1,false
157,67810671,131,510,false,13.2,6,false,0,195.6,93,33.25,245.0,100,20.83,104.7,97,4.71,13.2,6,3.56,2,false
158,35959436,79,510,false,7.6,2,false,0,161.1,110,27.39,170.6,111,14.5,274.4,80,12.35,7.6,2,2.05,2,false
159,28703791,130,510,false,8.4,5,true,22,173.9,90,29.56,234.8,86,19.96,121.8,79,5.48,8.4,5,2.27,1,false
160,17401688,161,408,false,10.5,3,false,0,165.4,88,28.12,209.7,111,17.82,270.7,129,12.18,10.5,3,2.84,4,false
161,28568764,108,415,false,8.7,3,true,28,221.3,117,37.62,156.0,102,13.26,159.3,80,7.17,8.7,3,2.35,0,false
162,304765399,69,415,true,13.1,5,false,0,176.8,89,30.06,196.0,89,16.66,232.6,151,10.47,13.1,5,3.54,1,true
163,28706836,80,408,false,13.9,5,false,0,196.0,75,33.32,237.8,112,20.21,220.1,127,9.9,13.9,5,3.75,1,false
164,59065060,146,415,false,11.6,3,false,0,174.3,113,29.63,200.7,107,17.06,281.2,145,12.65,11.6,3,3.13,4,false
165,34776930,143,408,true,12.3,3,false,0,186.9,98,31.77,196.5,110,16.7,215.3,104,9.69,12.3,3,3.32,4,false
166,53190799,114,510,true,9.7,1,false,0,115.6,93,19.65,163.2,78,13.87,251.3,104,11.31,9.7,1,2.62,2,true
167,55617419,113,408,false,14.9,2,false,0,158.4,107,26.93,142.2,104,12.09,174.7,108,7.86,14.9,2,4.02,0,false
168,24816571,29,415,false,6.0,3,true,38,149.4,93,25.4,189.8,96,16.13,127.4,71,5.73,6.0,3,1.62,1,false
169,23080005,57,415,false,9.7,3,true,36,244.5,94,41.57,161.2,113,13.7,184.3,105,8.29,9.7,3,2.62,1,false
170,32086340,78,415,false,9.5,5,false,0,145.5,124,24.74,143.4,71,12.19,291.1,123,13.1,9.5,5,2.57,3,false
171,25642976,120,510,false,11.1,5,false,0,147.7,101,25.11,144.1,71,12.25,237.0,115,10.67,11.1,5,3.0,0,false
172,5862644,97,415,false,12.1,2,false,0,164.3,106,27.93,182.3,97,15.5,183.9,93,8.28,12.1,2,3.27,1,false
173,69605723,185,415,false,10.4,2,false,0,89.4,77,15.2,288.9,128,24.56,162.9,93,7.33,10.4,2,2.81,3,false
174,12235594,144,415,false,8.7,3,true,38,276.3,149,46.97,252.0,112,21.42,132.5,85,5.96,8.7,3,2.35,1,false
175,25297417,97,510,false,11.7,5,true,32,172.7,79,29.36,217.4,101,18.48,260.7,88,11.73,11.7,5,3.16,1,false
176,27463199,130,415,false,13.6,3,false,0,138.7,68,23.58,205.6,102,17.48,231.2,108,10.4,13.6,3,3.67,2,false
177,4609327,59,415,false,9.4,2,true,26,205.4,68,34.92,115.0,115,9.78,214.7,130,9.66,9.4,2,2.54,5,false
178,54133863,139,408,false,11.7,3,false,0,187.4,86,31.86,169.3,116,14.39,153.4,88,6.9,11.7,3,3.16,1,false
179,47858345,12,415,false,12.1,7,false,0,206.1,105,35.04,246.6,104,20.96,254.6,83,11.46,12.1,7,3.27,2,false
180,69685485,42,408,false,10.9,5,true,34,131.5,143,22.36,185.3,109,15.75,177.3,117,7.98,10.9,5,2.94,0,false
181,32849374,63,415,false,6.3,4,false,0,120.1,103,20.42,179.2,132,15.23,127.3,82,5.73,6.3,4,1.7,1,false
182,69044873,143,415,false,13.3,10,false,0,168.6,85,28.66,176.3,89,14.99,282.3,69,12.7,13.3,10,3.59,1,false
183,24853442,150,415,false,11.9,4,true,29,235.8,91,40.09,202.8,84,17.24,246.3,81,11.08,11.9,4,3.21,1,false
184,47555545,156,510,false,4.5,13,false,0,189.4,114,32.2,145.7,96,12.38,192.8,121,8.68,4.5,13,1.22,0,false
185,24975955,98,408,false,14.8,5,false,0,158.5,90,26.95,254.4,67,21.62,178.4,104,8.03,14.8,5,4.0,2,false
186,27227545,17,510,false,10.3,2,true,30,280.0,101,47.6,258.9,85,22.01,230.0,130,10.35,10.3,2,2.78,3,false
187,27384882,101,415,false,8.9,2,false,0,229.8,97,39.07,217.8,133,18.51,243.5,53,10.96,8.9,2,2.4,1,false
188,63579239,163,415,false,9.8,6,false,0,241.6,102,41.07,138.9,100,11.81,148.8,129,6.7,9.8,6,2.65,1,false
189,59609685,140,415,false,7.1,5,true,27,176.0,141,29.92,201.3,143,17.11,167.9,93,7.56,7.1,5,1.92,3,false
190,32452518,176,415,false,10.4,4,true,31,167.0,93,28.39,174.1,128,14.8,155.0,124,6.98,10.4,4,2.81,3,false
191,32847790,102,510,false,8.7,4,true,45,129.2,142,21.96,239.4,114,20.35,223.4,66,10.05,8.7,4,2.35,0,false
192,53093670,71,415,false,7.8,4,true,49,174.0,122,29.58,168.6,85,14.33,132.1,120,5.94,7.8,4,2.11,1,false
193,5611272,104,415,false,11.3,1,false,0,261.2,81,44.4,209.1,130,17.77,281.1,121,12.65,11.3,1,3.05,2,true
194,38397964,96,415,false,8.1,4,false,0,264.6,117,44.98,264.1,121,22.45,77.1,89,3.47,8.1,4,2.19,0,false
195,29389228,90,408,false,9.1,4,false,0,160.9,97,27.35,136.4,46,11.59,209.0,121,9.4,9.1,4,2.46,2,false
196,29421252,106,510,false,11.3,3,true,36,124.8,93,21.22,241.7,83,20.54,219.0,110,9.86,11.3,3,3.05,1,false
197,57047615,148,510,false,6.2,4,false,0,230.6,92,39.2,185.6,97,15.78,183.2,79,8.24,6.2,4,1.67,2,false
198,306030362,66,408,false,11.3,2,false,0,241.7,112,41.09,251.6,78,21.39,105.0,82,4.72,11.3,2,3.05,2,false
199,29050671,95,408,false,3.9,3,true,35,229.1,143,38.95,148.2,104,12.6,248.4,110,11.18,3.9,3,1.05,0,false
200,57965881,127,408,false,8.6,2,false,0,212.9,92,36.19,260.1,124,22.11,177.6,85,7.99,8.6,2,2.32,2,false
201,25002478,79,408,false,4.6,3,true,30,124.8,99,21.22,207.6,142,17.65,175.0,95,7.88,4.6,3,1.24,1,false
202,302063292,83,510,false,11.7,4,false,0,133.9,82,22.76,169.6,105,14.42,222.8,114,10.03,11.7,4,3.16,0,false
203,58288234,83,510,false,14.3,6,true,31,129.8,87,22.07,183.4,110,15.59,169.4,40,7.62,14.3,6,3.86,1,false
204,23788953,136,415,false,7.5,12,false,0,88.5,112,15.05,279.5,98,23.76,278.0,69,12.51,7.5,12,2.03,1,false
205,24431850,17,408,false,8.8,6,false,0,168.5,102,28.65,297.2,130,25.26,244.7,117,11.01,8.8,6,2.38,3,false
206,1717172,165,415,true,12.2,3,false,0,81.4,110,13.84,263.7,150,22.41,219.7,107,9.89,12.2,3,3.29,1,false
207,24940686,149,510,false,9.0,7,false,0,117.2,99,19.92,227.7,74,19.35,221.7,141,9.98,9.0,7,2.43,1,false
